,participant,x,y,fixStart
1,1,443.9,348,0
2,1,506.3,360.3,272
3,1,493.6,204.4,504
4,1,457.4,92.4,688
5,1,367,65.5,844
6,1,524.5,71.4,1156
7,1,633.2,62.6,1400
8,1,427.9,237.5,1676
9,1,491.6,427.4,1924
10,1,498.5,304.1,2288
11,1,498.8,333.2,2492
12,1,561,483.3,2748
13,1,644.3,451.9,3128
14,1,427.9,462.4,3424
15,1,340.1,526.2,3600
16,1,471.6,239.6,3832
17,1,490.6,134.2,4104
18,1,557.2,186.9,4384
19,1,563.6,434.4,4796
20,2,444.3,314.4,0
21,2,426.2,352.7,172
22,2,514.4,356.3,276
23,2,497.3,117.9,524
24,2,382.7,57.6,832
25,2,499.2,59.1,1068
26,2,607,56,1288
27,2,340.5,157.6,1396
28,2,343.1,131.7,1620
29,2,603.1,417.7,1792
30,2,520.6,392.8,2052
31,2,516.9,302,2240
32,2,574.9,309.7,2516
33,2,578.7,578.9,2740
34,2,568.2,552.1,3016
35,2,639.5,557.3,3192
36,2,569.7,334.8,3372
37,2,384.5,343.9,3692
38,2,335,550.1,3936
39,2,688,173.5,4236
40,2,733.1,169.6,4420
41,2,691,149.7,4656
42,2,606.3,660.4,4952
43,3,477.5,278.3,0
44,3,505.3,347.6,304
45,3,496.3,144.6,576
46,3,422.4,141.1,828
47,3,380.3,73.7,992
48,3,504.7,76.9,1192
49,3,316.4,196.7,1476
50,3,311.3,155.6,1740
51,3,329,229.5,2200
52,3,484.2,245.6,2444
53,3,580.2,259.1,2700
54,3,570.4,628,2952
55,3,547.1,545.4,3212
56,3,610.2,565.7,3456
57,3,527,583.9,3676
58,3,621.5,598.2,3964
59,3,607,562.6,4100
60,3,705.7,610.3,4168
61,3,538.1,356.1,4436
62,3,474.7,374.9,4668
63,3,563.2,367.1,4932